title,authors,description,published_date
Digital Humanities Pedagogy,Brett D. Hirsch,"""The essays in this collection offer a timely intervention in digital humanities scholarship, bringing together established and emerging scholars from a variety of humanities disciplines across the world. The first section offers views on the practical realities of teaching digital humanities at undergraduate and graduate levels, presenting case studies and snapshots of the authors' experiences alongside models for future courses and reflections on pedagogical successes and failures. The next section proposes strategies for teaching foundational digital humanities methods across a variety of scholarly disciplines, and the book concludes with wider debates about the place of digital humanities in the academy, from the field's cultural assumptions and social obligations to its political visions."" (4e de couverture).",2012
Disrupting the Digital Humanities,"Dorothy Kim,Jesse Stommel","All too often, defining a discipline becomes more an exercise of exclusion than inclusion. Disrupting the Digital Humanities seeks to rethink how we map disciplinary terrain by directly confronting the gatekeeping impulse of many other so-called field-defining collections. What is most beautiful about the work of the Digital Humanities is exactly the fact that it can't be tidily anthologized. In fact, the desire to neatly define the Digital Humanities (to filter the DH-y from the DH) is a way of excluding the radically diverse work that actually constitutes the field. This collection, then, works to push and prod at the edges of the Digital Humanities - to open the Digital Humanities rather than close it down. Ultimately, it's exactly the fringes, the outliers, that make the Digital Humanities both lovely and rigorous. This collection does not constitute yet another reservoir for the new Digital Humanities canon. Rather, our aim is less about assembling content as it is about creating new conversations. Building a truly communal space for the digital humanities requires that we all approach that space with a commitment to: 1) creating open and non-hierarchical dialogues; 2) championing non-traditional work that might not otherwise be recognized through conventional scholarly channels; 3) amplifying marginalized voices; 4) advocating for students and learners; and 5) sharing generously to support the work of our peers. TABLE OF CONTENTS // Cathy N. Davidson, ""Preface: Difference is Our Operating System"" Dorothy Kim and Jesse Stommel, ""Disrupting the Digital Humanities: An Introduction"" I. Etymology Adeline Koh, ""A Letter to the Humanities: DH Will Not Save You"" Audrey Watters, ""The Myth and the Millennialism of 'Disruptive Innovation'"" Meg Worley, ""The Rhetoric of Disruption: What are We Doing Here?"" Jesse Stommel, ""Public Digital Humanities"" II. Identity Jonathan Hsy and Rick Godden, ""Universal Design and Its Discontents"" Angel Nieves, ""DH as 'Disruptive Innovation' for Restorative Social Justice: Virtual Heritage and 3D Reconstructions of South Africa's Township Histories"" Annemarie Perez, ""Lowriding through the Digital Humanities"" III. Jeremiad Mongrel Coalition Against Gringpo, ""Gold Star for You,"" ""Mongrel Dream Library"" Michelle Moravec, ""Exceptionalism in Digital Humanities: Community, Collaboration, and Consensus"" Matt Thomas, ""The Trouble with ProfHacker"" Sean Michael Morris, ""Digital Humanities and the Erosion of Inquiry"" IV. Labor Moya Bailey, ""#transform(ing)DH Writing and Research: An Autoethonography of Digital Humanities and Feminist Ethics"" Kathi Inman Berens and Laura Sanders, ""DH and Adjuncts: Putting the Human Back into the Humanities"" Liana Silva Ford, ""Not Seen, Not Heard"" Spencer D. C. Keralis, ""Disrupting Labor in Digital Humanities; or, The Classroom Is Not Your Crowd"" V. Networks Maha Bali, ""The Unbearable Whiteness of the Digital"" Eunsong Kim, ""The Politics of Visibility"" Bonnie Stewart, ""Academic Influence: The Sea of Change"" VI. Play Edmond Y Chang, ""Playing as Making"" Kat Lecky, ""Humanizing the Interface"" Robin Wharton, ""Bend Until It Breaks: Digital Humanities and Resistance"" VII. Structure Chris Friend, ""Outsiders, All: Connecting the Pasts and Futures of Digital Humanities and Composition"" Lee Skallerup-Bessette, ""W(h)ither DH? New Tensions, Directions, and Evolutions in the Digital Humanities"" Chris Bourg, ""The Library is Never Neutral"" Fiona Barnett, ""After the Digital Humanities, or, a Postscript"" Conclusion Dorothy Kim, ""#DecolonizeDH or A Practical Guide to Making DH Less White""",2018
Interdisciplining Digital Humanities,Julie Thompson Klein,The first book to test the claim that the emerging field of Digital Humanities is interdisciplinary and also examines the boundary work of establishing and sustaining a new field of study,2015-01-05
Digital Humanities,"David M. Berry,Anders Fagerjord","As the twenty-first century unfolds, computers challenge the way in which we think about culture, society and what it is to be human: areas traditionally explored by the humanities. In a world of automation, Big Data, algorithms, Google searches, digital archives, real-time streams and social networks, our use of culture has been changing dramatically. The digital humanities give us powerful theories, methods and tools for exploring new ways of being in a digital age. Berry and Fagerjord provide a compelling guide, exploring the history, intellectual work, key arguments and ideas of this emerging discipline. They also offer an important critique, suggesting ways in which the humanities can be enriched through computing, but also how cultural critique can transform the digital humanities. Digital Humanities will be an essential book for students and researchers in this new field but also related areas, such as media and communications, digital media, sociology, informatics, and the humanities more broadly.",2017-05-30
Defining Digital Humanities,"Melissa Terras,Julianne Nyhan,Edward Vanhoutte","Digital Humanities is becoming an increasingly popular focus of academic endeavour. There are now hundreds of Digital Humanities centres worldwide and the subject is taught at both postgraduate and undergraduate level. Yet the term ’Digital Humanities’ is much debated. This reader brings together, for the first time, in one core volume the essential readings that have emerged in Digital Humanities. We provide a historical overview of how the term ’Humanities Computing’ developed into the term ’Digital Humanities’, and highlight core readings which explore the meaning, scope, and implementation of the field. To contextualize and frame each included reading, the editors and authors provide a commentary on the original piece. There is also an annotated bibliography of other material not included in the text to provide an essential list of reading in the discipline. This text will be required reading for scholars and students who want to discover the history of Digital Humanities through its core writings, and for those who wish to understand the many possibilities that exist when trying to define Digital Humanities.",2016-05-13
Digital Humanities in Practice,"Claire Warwick,Melissa Terras,Julianne Nyhan","This cutting-edge and comprehensive introduction to digital humanities explains the scope of the discipline and state of the art and provides a wide-ranging insight into emerging topics and avenues of research. Each chapter interweaves the expert commentary of leading academics with analysis of current research and practice, exploring the possibilities and challenges that occur when culture and digital technologies intersect. International case studies of projects ranging from crowdsourced manuscript transcription to computational reconstruction of frescoes are included in each chapter, providing a wealth of information and inspiration. QR codes within each chapter link to a dedicated website where additional content, such as further case studies, is located. Key topics covered include: • studying users and readers • social media and crowdsourcing • digitization and digital resources • image processing in the digital humanities • 3D recording and museums • electronic text and text encoding • book history, texts and digital editing • open access and online teaching of digital humanities • institutional models for digital humanities. Readership: This is an essential practical guide for academics, researchers, librarians and professionals involved in the digital humanities. It will also be core reading for all humanities students and those taking courses in the digital humanities in particular.",2012-10-09
Doing Digital Humanities,"Constance Crompton,Richard Lane,Ray Siemens","Digital Humanities is rapidly evolving as a significant approach to/method of teaching, learning and research across the humanities. This is a first-stop book for people interested in getting to grips with digital humanities whether as a student or a professor. The book offers a practical guide to the area as well as offering reflection on the main objectives and processes, including: Accessible introductions of the basics of Digital Humanities through to more complex ideas A wide range of topics from feminist Digital Humanities, digital journal publishing, gaming, text encoding, project management and pedagogy Contextualised case studies Resources for starting Digital Humanities such as links, training materials and exercises Doing Digital Humanities looks at the practicalities of how digital research and creation can enhance both learning and research and offers an approachable way into this complex, yet essential topic.",2016-09-13
Digital_Humanities,"Anne Burdick,Johanna Drucker,Peter Lunenfeld,Todd Presner,Jeffrey Schnapp","A visionary report on the revitalization of the liberal arts tradition in the electronically inflected, design-driven, multimedia language of the twenty-first century. Digital_Humanities is a compact, game-changing report on the state of contemporary knowledge production. Answering the question “What is digital humanities?,” it provides an in-depth examination of an emerging field. This collaboratively authored and visually compelling volume explores methodologies and techniques unfamiliar to traditional modes of humanistic inquiry—including geospatial analysis, data mining, corpus linguistics, visualization, and simulation—to show their relevance for contemporary culture. Written by five leading practitioner-theorists whose varied backgrounds embody the intellectual and creative diversity of the field, Digital_Humanities is a vision statement for the future, an invitation to engage, and a critical tool for understanding the shape of new scholarship.",2016-02-12
The Digital Humanities Coursebook,Johanna Drucker,"""The Digital Humanities Coursebook provides critical frameworks for the application of Digital Humanities tools and platforms, which have become an integral part of work across a wide range of disciplines. Written by an expert with twenty years of experience in this field, the book is focused on the principles and fundamental concepts for application, rather than on specific tools or platforms. Each chapter contains examples of projects, tools, or platforms that demonstrate these principles in action. The book is structured to complement courses on digital humanities and provides a series of modules, each of which is organized around a set of concerns and topics, thought experiments and questions, as well as specific discussion of the ways in which tools and platforms work. The book covers a wide range of topics and clearly details how to integrate the acquisition of expertise in data, metadata, classification, interface, visualization, network analysis, topic modelling, data mining, mapping, and web presentation with issues in intellectual property, sustainability, privacy, and the ethical use of information. Written in an accessible and engaging manner, The Digital Humanities Coursebook will be a useful guide for anyone teaching or studying a course in the areas of digital humanities, library and information science, English, or computer science. The book will provide a framework for direct engagement with digital humanities and, as such, should be of interest to others working across the humanities too""--",2021
Teaching with Digital Humanities,"Jennifer Travis,Jessica DeSpain","Jennifer Travis and Jessica DeSpain present a long-overdue collection of theoretical perspectives and case studies aimed at teaching nineteenth-century American literature using digital humanities tools and methods. Scholars foundational to the development of digital humanities join educators who have made digital methods central to their practices. Together they discuss and illustrate how digital pedagogies deepen student learning. The collection's innovative approach allows the works to be read in any order. Travis and DeSpain curate conversations on the value of project-based, collaborative learning; examples of real-world assignments where students combine close, collaborative, and computational reading; how digital humanities aids in the consideration of marginal texts; the ways in which an ethics of care can help students organize artifacts; and how an activist approach affects debates central to the study of difference in the nineteenth century. A supplemental companion website with substantial appendixes of syllabi and assignments is now available for readers of Teaching with Digital Humanities.",2018-11-15
