,Citation
0,https://doi.org/10.1080%2F10618600.2017.1384734
1,http://cacm.acm.org/magazines/2013/12/169933-data-science-and-prediction/fulltext
2,https://dstf.acm.org/DSTF_Final_Report.pdf
3,https://doi.org/10.1145%2F3575663
4,https://www.springer.com/book/9784431702085
5,https://doi.org/10.1145%2F3076253
6,https://books.google.com/books?id=oGs_AQAAIAAJ
7,https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century/
8,https://doi.org/10.3390%2Fmake1010015
9,https://www.oreilly.com/library/view/doing-data-science/9781449363871/ch01.html
10,http://archive.nyu.edu/handle/2451/31553
11,https://statmodeling.stat.columbia.edu/2013/11/14/statistics-least-important-part-data-science/
12,http://courses.csail.mit.edu/18.337/2015/docs/50YearsDataScience.pdf
13,https://www2.isye.gatech.edu/~jeffwu/publications/fazhan.pdf
14,https://doi.org/10.3390%2Fbdcc2020014
15,http://www2.isye.gatech.edu/~jeffwu/presentations/datascience.pdf
16,https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century
17,https://www.nytimes.com/2013/04/14/education/edlife/universities-offer-courses-in-a-hot-new-field-data-science.html
18,https://www.bostonglobe.com/business/2015/11/11/behind-scenes-sexiest-job-century/Kc1cvXIu31DfHhVmyRQeIJ/story.html
19,https://hbr.org/2022/07/is-data-scientist-still-the-sexiest-job-of-the-21st-century
20,https://magazine.amstat.org/blog/2016/06/01/datascience-2/
21,https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century
22,https://www.nsf.gov/pubs/2005/nsb0540/
23,https://www.researchgate.net/publication/256438799
24,https://www.sciencedirect.com/book/9780123814791/data-mining-concepts-and-techniques
25,https://linkinghub.elsevier.com/retrieve/pii/S0306437914001288
26,https://doi.org/10.1186%2Fs13634-016-0355-x
27,https://dl.acm.org/doi/10.1145/2723372.2742797
28,http://link.springer.com/10.1007/s11948-015-9652-2
29,https://lawcat.berkeley.edu/record/1127463
